Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,1.84212725368865E-17,0.0416161371560982,0,0,0,2.82025938303669,0.00536061385559418,1.9347577475559E-19,1.3377114869985E-19,0.421962176355594,-8.392727982218E-20,0.424580430670725,0,0,0,0,0,0,package://Armor_Robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/base_link.STL,,底座-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
move_link,0,4.8450284582946E-19,0.035,0,0,0,0.137444678594553,7.75989747898417E-05,0,-2.32406525320738E-37,7.75989747898417E-05,2.06367498512661E-37,4.2951462060798E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/move_link.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/move_link.STL,,转轴-2,move_frame,move_joint,move_joint,prismatic,0,0,0.05,0,0,0,base_link,1,0,0,0,0,1,-1,,,,,,,,
body_link,0.00323410697082153,-0.000824032968703464,0.0434141574886305,0,0,0,1.43184052536946,0.0108592385234091,-6.5109540176497E-07,6.16574138294673E-06,0.0123197521096828,-5.52200428477679E-11,0.0213749566414504,0,0,0,0,0,0,package://Armor_Robot/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/body_link.STL,,装甲上-3;装甲下-1;分体装甲板-2/装甲支架-2;分体装甲板-2/装甲支架-1;分体装甲板-3/装甲支架-2;分体装甲板-4/装甲支架-1;分体装甲板-4/装甲支架-2;分体装甲板-1/装甲支架-1;分体装甲板-1/装甲支架-2;垫块-2;垫块-1,body_frame,yaw_joint,body_joint,continuous,0,0,0.07,0,0,0,move_link,0,0,1,,,,,,,,,,,,
Armor_link_1,0.21405,1.3892E-08,0.025955,0,0,0,0.050946,0.00014072,-1.1781E-10,1.6351E-05,6.7039E-05,4.5927E-10,8.3002E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_1.STL,,分体装甲板-1/装甲模块 AM02 2020-1,body_frame,yaw_joint,Armor_joint_1,fixed,0,0,0,0,0,0,body_link,0,0,0,,,,,,,,,,,,
Armor_light_link_1,0.22157,-1.3919E-11,0.026444,0,0,0,0.007108,2.1065E-06,1.2734E-14,5.1746E-07,2.2447E-06,-4.3448E-14,3.1392E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_1.STL,1,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_1.STL,,分体装甲板-1/装甲模块 AM02 20201-1,body_frame,yaw_joint,Armor_light_joint_1,fixed,0,0,0,0,0,0,Armor_link_1,0,0,0,,,,,,,,,,,,
Armor_board_link_1,0.2279,8.3068E-10,0.028072,0,0,0,0.048187,0.000127,9.2621E-20,1.5976E-05,6.3975E-05,1.1293E-19,7.1656E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_1.STL,0,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_1.STL,,分体装甲板-1/装甲模块 AM02 20202-1,body_frame,yaw_joint,Armor_board_joint_1,fixed,0,0,0,0,0,0,Armor_link_1,0,0,0,,,,,,,,,,,,
Armor_num_link_1,0.22945,0.0084094,0.02828,0,0,0,0.00034078,4.0012E-07,7.5418E-10,8.5023E-08,3.4009E-07,-2.8146E-09,1.0559E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_1.STL,,分体装甲板-1/数字-1,body_frame,yaw_joint,Armor_num_joint_1,fixed,0,0,0,0,0,0,Armor_board_link_1,0,0,0,,,,,,,,,,,,
Armor_link_2,1.67830696248036E-08,-0.205050357307329,0.0559554955610215,0,0,0,0.050945615705612,6.70385544565706E-05,1.1618630452987E-10,4.54452869165702E-10,0.000140719404105713,-1.63508603410776E-05,8.30016414568248E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_2.STL,,分体装甲板-4/装甲模块 AM02 2020-1,body_frame,yaw_joint,Armor_joint_2,fixed,0,0,0,0,0,0,body_link,0,0,0,,,,,,,,,,,,
Armor_light_link_2,-1.3919E-11,-0.21257,0.056444,0,0,0,0.007108,2.2447E-06,-1.2734E-14,-4.3448E-14,2.1065E-06,-5.1746E-07,3.1392E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_2.STL,1,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_2.STL,,分体装甲板-4/装甲模块 AM02 20201-1,body_frame,yaw_joint,Armor_light_joint_2,fixed,0,0,0,0,0,0,Armor_link_2,0,0,0,,,,,,,,,,,,
Armor_board_link_2,8.30680123428337E-10,-0.218896581535879,0.0580715484311269,0,0,0,0.0481867874495532,6.39748637618369E-05,-1.28431106957352E-19,-2.11911365503264E-20,0.000126997669638442,-1.59756619204251E-05,7.16563533769967E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_2.STL,0,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_2.STL,,分体装甲板-4/装甲模块 AM02 20202-1,body_frame,yaw_joint,Armor_board_joint_2,fixed,0,0,0,0,0,0,Armor_link_2,0,0,0,,,,,,,,,,,,
Armor_num_link_2,0.00840944059962741,-0.220448164013808,0.0582803425975888,0,0,0,0.000340775843454777,3.40092980656507E-07,-7.54176109816083E-10,-2.81462765480805E-09,4.00122456800335E-07,-8.50231037345994E-08,1.05593788384602E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_2.STL,,分体装甲板-4/数字-1,body_frame,yaw_joint,Armor_num_joint_2,fixed,0,0,0,0,0,0,Armor_board_link_2,0,0,0,,,,,,,,,,,,
Armor_link_3,-0.214050358392127,-1.38918112584078E-08,0.0259554926170008,0,0,0,0.0509456108266588,0.000140719394477255,-1.17811631903681E-10,-1.63508587007265E-05,6.70385490467131E-05,-4.592660103053E-10,8.30016361783646E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_3.STL,,分体装甲板-3/装甲模块 AM02 2020-1,body_frame,yaw_joint,Armor_joint_3,fixed,0,0,0,0,0,0,body_link,0,0,0,,,,,,,,,,,,
Armor_light_link_3,-0.22157,1.3919E-11,0.026444,0,0,0,0.007108,2.1065E-06,1.2734E-14,-5.1746E-07,2.2447E-06,4.3448E-14,3.1392E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_3.STL,1,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_3.STL,,分体装甲板-3/装甲模块 AM02 20201-1,body_frame,yaw_joint,Armor_light_joint_3,fixed,0,0,0,0,0,0,Armor_link_3,0,0,0,,,,,,,,,,,,
Armor_board_link_3,-0.227896581535879,-8.30680049377329E-10,0.0280715484311268,0,0,0,0.0481867874495531,0.000126997669638441,1.45289253109561E-19,-1.5975661920425E-05,6.39748637618367E-05,-1.54911827414891E-20,7.16563533769965E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_3.STL,0,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_3.STL,,分体装甲板-3/装甲模块 AM02 20202-1,body_frame,yaw_joint,Armor_board_joint_3,fixed,0,0,0,0,0,0,Armor_link_3,0,0,0,,,,,,,,,,,,
Armor_num_link_3,-0.229448164013808,-0.00840944059962693,0.0282803425975881,0,0,0,0.00034077584345476,4.00122456800331E-07,7.54176109815772E-10,-8.50231037345989E-08,3.40092980656505E-07,2.81462765480678E-09,1.055937883846E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_3.STL,,分体装甲板-3/数字-1,body_frame,yaw_joint,Armor_num_joint_3,fixed,0,0,0,0,0,0,Armor_board_link_3,0,0,0,,,,,,,,,,,,
Armor_link_4,-1.67830877340156E-08,0.205050357307338,0.0559554955609963,0,0,0,0.0509456157056531,6.70385544566252E-05,1.16186317350392E-10,-4.54452904280234E-10,0.000140719404105789,1.6350860341095E-05,8.30016414568596E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_link_4.STL,,分体装甲板-2/装甲模块 AM02 2020-1,body_frame,yaw_joint,Armor_joint_4,fixed,0,0,0,0,0,0,body_link,0,0,0,,,,,,,,,,,,
Armor_light_link_4,1.3919E-11,0.21257,0.056444,0,0,0,0.007108,2.2447E-06,-1.2734E-14,4.3448E-14,2.1065E-06,5.1746E-07,3.1392E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_4.STL,1,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_light_link_4.STL,,分体装甲板-2/装甲模块 AM02 20201-1,body_frame,yaw_joint,Armor_light_joint_4,fixed,0,0,0,0,0,0,Armor_link_4,0,0,0,,,,,,,,,,,,
Armor_board_link_4,-8.3068E-10,0.2189,0.058072,0,0,0,0.048187,6.3975E-05,-9.8541E-20,-3.691E-20,0.000127,1.5976E-05,7.1656E-05,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_4.STL,0,0,0,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_board_link_4.STL,,分体装甲板-2/装甲模块 AM02 20202-1,body_frame,yaw_joint,Armor_board_joint_4,fixed,0,0,0,0,0,0,Armor_link_4,0,0,0,,,,,,,,,,,,
Armor_num_link_4,-0.0084094,0.22045,0.05828,0,0,0,0.00034078,3.4009E-07,-7.5418E-10,2.8146E-09,4.0012E-07,8.5023E-08,1.0559E-07,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Armor_Robot/meshes/Armor_num_link_4.STL,,分体装甲板-2/数字-1,body_frame,yaw_joint,Armor_num_joint_4,fixed,0,0,0,0,0,0,Armor_board_link_4,0,0,0,,,,,,,,,,,,
