Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0055963,0.017859,0.11879,0,0,0,7.3797,0.015845,6.479E-07,3.208E-06,0.025117,2.7788E-06,0.036817,0,0,0,0,0,0,package://Engineer_Robot/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/base_link.STL,,24工程底盘（独立悬挂）-1/车架总成-1/车架-1;24工程底盘（独立悬挂）-1/工程保护壳-横梁-1;24工程底盘（独立悬挂）-1/工程保护壳-纵1-1;24工程底盘（独立悬挂）-1/RM2019裁判系统主控模块MC02-1;J0-0702-1/J0toJ1-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-2/右手麦轮-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-2/麦轮-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-1/右手麦轮-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-1/麦轮-1;24工程底盘（独立悬挂）-1/盖子-1;24工程底盘（独立悬挂）-1/工程腹板-1;24工程底盘（独立悬挂）-1/电磁继电器安装板-1;24工程底盘（独立悬挂）-1/电池垫高打印件-1;24工程底盘（独立悬挂）-1/RM2019裁判系统场地交互模块FI01-1;24工程底盘（独立悬挂）-1/RFID安装板-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-1/右手悬架0923-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-1/右手悬架0923-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-2/右手悬架0923-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-2/右手悬架0923-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-2/轮组电机尾端碳板-工程-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-2/轮组电机安装碳板-工程-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-2/轮组电机安装碳板-工程-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-2/3508电机-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-1/轮组电机安装碳板-工程-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-1/轮组电机尾端碳板-工程-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-1/3508电机-1;24工程底盘（独立悬挂）-1/车架总成-1/左手轮组-1/3508电机-1;24工程底盘（独立悬挂）-1/车架总成-1/右手轮组-2/3508电机-1;24工程底盘（独立悬挂）-1/电源管理模块安装板-1;24工程底盘（独立悬挂）-1/电池-1/TB48-1;24工程底盘（独立悬挂）-1/主控模块安装板-1;24工程底盘（独立悬挂）-1/电池盖子-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-1/二版RM2019裁判系统支撑架AH02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-1/二版RM2019裁判系统支撑架AH02-2;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-2/二版RM2019裁判系统支撑架AH02-2;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-2/二版RM2019裁判系统支撑架AH02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-4/二版RM2019裁判系统支撑架AH02-2;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-4/二版RM2019裁判系统支撑架AH02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-3/二版RM2019裁判系统支撑架AH02-2;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-3/二版RM2019裁判系统支撑架AH02-1,base_lilnk,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Armor_link,-2.0487E-15,-3.3999E-15,0.22827,0,0,0,1.0609,0.04212,-6.3375E-16,-3.8306E-16,0.04212,5.5474E-16,0.043272,0,0,0,0,0,0,package://Engineer_Robot/meshes/Armor_link.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/Armor_link.STL,,24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-1/二版RM2019裁判系统装甲模块AM02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-3/二版RM2019裁判系统装甲模块AM02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-4/二版RM2019裁判系统装甲模块AM02-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-2/二版RM2019裁判系统装甲模块AM02-1,base_lilnk,J1,Armor_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Armor_light_link,7.5251E-16,2.1975E-15,0.13026,0,0,0,0.028432,8.7023E-06,3.3947E-21,1.5404E-20,8.7023E-06,1.7364E-20,1.2557E-06,0,0,0,0,0,0,package://Engineer_Robot/meshes/Armor_light_link.STL,1,0,0,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/Armor_light_link.STL,,24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-3/二版RM2019裁判系统装甲模块AM02灯条-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-4/二版RM2019裁判系统装甲模块AM02灯条-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-2/二版RM2019裁判系统装甲模块AM02灯条-1;24工程底盘（独立悬挂）-1/车架总成-1/二版小装甲-1/二版RM2019裁判系统装甲模块AM02灯条-1,base_lilnk,J1,Armor_light_joint,fixed,0,0,0,0,0,0,Armor_link,0,0,0,,,,,,,,,,,,
L1,-0.060868,-0.002963,0.27584,0,0,0,5.3051,0.16383,-2.5432E-06,-5.6383E-05,0.16306,1.0311E-05,0.26379,0,0,0,0,0,0,package://Engineer_Robot/meshes/L1.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L1.STL,,J0-0702-1/J0J1top-0702-1;J0-0702-1/J0链条-1;J0-0702-1/MG8016-i6-1;矿仓v6-1/矿仓V6-1;矿仓v6-1/DP60吸盘-1;矿仓v6-1/RoboMaster 灯条模块 LI01 2020 STEP.step-1;矿仓v6-1/DP60吸盘-3;矿仓v6-1/All Spark 2-1;矿仓v6-1/C620无刷电机调速器-1;矿仓v6-1/总线双轴舵机-1;矿仓v6-1/舵臂_矿仓24赛季-1;矿仓v6-1/舵机安装件-1;矿仓v6-1/24气阀_矿仓-2;矿仓v6-1/气泵-无动平衡0322-1/气泵-壳体-1;矿仓v6-1/气泵-无动平衡0322-1/RoboMaster M3508直流无刷电机-5偏心起步-2;矿仓v6-1/气泵-无动平衡0322-1/气泵-端盖-2/气泵-壳体-1;J0-0702-1/MG8016-i6-2;矿仓v6-1/弹簧合页-4;矿仓v6-1/弹簧合页-2;矿仓v6-1/弹簧合页-1;矿仓v6-1/弹簧合页-3;矿仓v6-1/DP60吸盘安装件24赛季-2;矿仓v6-1/DP60吸盘安装件24赛季-3;矿仓v6-1/外置编码器安装件-1;J0-0702-1/J1电机保护-1,base_lilnk,J1,J1,continuous,0,0,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
L2,-0.025806,0.014363,0.04429,0,0,0,1.1249,0.00091282,5.7367E-05,0.0001141,0.0016549,-2.0441E-05,0.0012244,0,0,0,0,0,0,package://Engineer_Robot/meshes/L2.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L2.STL,,J1（开源用）-2/J1-J2结构件内走线0718-1;J1（开源用）-2/J2减速箱模型-1;J1（开源用）-2/J2从动带轮0708-1;J1（开源用）-2/MF7015v2-2;J1（开源用）-2/J2驱动带轮-2;J1（开源用）-2/J2走线管道-1;J1（开源用）-2/角度传递-RV端-1,J2_frame,J2,J2,continuous,0.25,0,0.2461,0,0,0,L1,0,0,-1,,,,,,,,,,,,
L3,0.20313,-0.00010391,-0.022422,0,0,0,0.6239,0.00031376,1.5589E-06,2.153E-05,0.0063851,-3.1694E-11,0.0065604,0,0,0,0,0,0,package://Engineer_Robot/meshes/L3.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L3.STL,,Link2-1/link2铝方管-1;Link2-1/link2方管内嵌.SLDPR-2;Link2-1/link2方管内嵌.SLDPR-1,J3_frame,J3,J3,continuous,0,0.0584,0.04895,-1.5707963267949,-0.296705972839045,3.14159265358977,L2,0,0,1,,,,,,,,,,,,
L4,0.034236,-0.013833,0.053129,0,0,0,1.3522,0.00095264,3.551E-06,-6.537E-05,0.0009452,-5.0083E-06,0.001477,0,0,0,0,0,0,package://Engineer_Robot/meshes/L4.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L4.STL,,J3(开源用)-2/J3减速箱模型-1;Link2-1/J3限位-1;J3(开源用)-2/MF7015v2-1;J3(开源用)-2/图传安装板无pitch -1;J3(开源用)-2/RoboMaster 图传模块 VT02 2019 STEP-1;J3(开源用)-2/J3内嵌件-link3侧-1;J3(开源用)-2/MT1233-S06.step-1;J3(开源用)-2/DM-J4310 V1.1减速电机 STEP3D20230904.STEP-1,J4_frame,J4,J4,continuous,0.38,0,0,0,0,-2.70526034059121,L3,0,0,-1,,,,,,,,,,,,
L5,0.003077,0.014376,0.099804,0,0,0,0.80501,0.0014293,1.1266E-05,-9.1806E-07,0.0012902,-0.00012067,0.00044083,0,0,0,0,0,0,package://Engineer_Robot/meshes/L5.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L5.STL,,J4-6内走线版-1/J5J6总成0318内走线-1;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-壳体-1;J4-6内走线版-1/J4滑环线保护管-3;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-端盖-1/气泵-壳体-1;J4-6内走线版-1/DM-J4310 V1.1减速电机 STEP3D20230904.STEP-1;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-端盖-2/气泵-壳体-1;J4-6内走线版-1/气泵-无动平衡0406-2/10-19-5轴承-1;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-活塞-1;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-单向轴承输出法兰-1;J4-6内走线版-1/气泵-无动平衡0406-2/气泵-端盖-1/气泵-驱动力偏移轴-1;J4-6内走线版-1/气泵-无动平衡0406-2/RoboMaster M3508直流无刷电机-5偏心起步-2;J4-6内走线版-1/C620无刷电机调速器-3;J4-6内走线版-1/J5主动带轮0404-1,J5_frame,J5,J5,continuous,0.155474398665704,-0.0549927158958655,0.0584,0.139626340159536,1.5707963267949,0,L4,0,-0.139173100960056,-0.990268068741572,,,,,,,,,,,,
L6,-0.014178,0.00034988,0.00019642,0,0,0,0.23111,7.4615E-05,-4.115E-07,-4.4427E-07,5.8424E-05,6.3801E-07,5.6898E-05,0,0,0,0,0,0,package://Engineer_Robot/meshes/L6.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L6.STL,,J4-6内走线版-1/J5小气滑环-1;J4-6内走线版-1/J6（双滑环）内走线版-2/DM-J4310 V1.1减速电机 STEP3D20230904.STEP-1;J4-6内走线版-1/J6（双滑环）内走线版-2/J6电机保护一体-1;J4-6内走线版-1/J6（双滑环）内走线版-2/双气滑环内走线-1;J4-6内走线版-1/J6（双滑环）内走线版-2/J5从动带轮内走线-1;J4-6内走线版-1/内25外37厚7法兰-1;J4-6内走线版-1/内15外21厚4法兰-1,J6_frame,J6,J6,continuous,0.00349999999999961,0.0334015442304132,0.237664336497977,-1.57079632679491,-1.43116998663536,1.57079632679491,L5,0,0,-1,,,,,,,,,,,,
L7,9.331E-10,2.3856E-09,0.023897,0,0,0,0.11514,5.2794E-05,1.0609E-08,1.8723E-11,5.2769E-05,6.0169E-12,5.835E-05,0,0,0,0,0,0,package://Engineer_Robot/meshes/L7.STL,0.1,0.1,0.1,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/L7.STL,,J4-6内走线版-1/J6（双滑环）内走线版-2/J6吸盘安装件-4310-1;J4-6内走线版-1/J6（双滑环）内走线版-2/J6吸盘安装件-1,J7_frame,J7,J7,continuous,-0.00399871055885126,0.000101557208172787,0.00349917389544382,0.025392030562591,1.5707963267949,0,L6,0,0,-1,,,,,,,,,,,,
End_link,-3.0656E-18,1.1102E-16,0.041125,0,0,0,0.020654,5.3233E-06,2.1671E-22,-3.4865E-22,5.3233E-06,-3.1764E-22,8.2808E-06,0,0,0,0,0,0,package://Engineer_Robot/meshes/End_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Engineer_Robot/meshes/End_link.STL,,J4-6内走线版-1/J6（双滑环）内走线版-2/DP60-1,J7_frame,J7,End_joint,fixed,0,0,0,0,0,0,L7,0,0,0,,,,,,,,,,,,
